country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,axhealth,bashs,ophe,social_p,social_r
Ecuador,10540.6573666533,15737878.0,0.043,0.9135519000000001,0.041999998092651404,0.09086222,0.18284979999999998,0.73409010683341,0.982,0.51381978633318,0.27929296085767535,0.17364544512629723
"Egypt, Arab Rep.",10733.488722812801,82056378.0,0.0925,0.9609769,0.126999998092651,0.002920252,0.009922715,0.596568661123111,0.789,0.595862677753778,0.10013164023017088,0.11927926539328736
El Salvador,7515.082656377621,6340454.0,0.057,0.8391484,0.06300000190734861,0.03982522,0.23006959999999999,0.8155371671771359,0.955,0.32392566564572806,0.18429042105884486,0.1773739959750223
Equatorial Guinea,32685.0623108539,757014.0,,0.7206936,0.08,,,0.6053640555308805,0.6459999999999999,0.435271888938239,,
Eritrea,1157.3215429849001,6333135.0,,0.6901921999999999,0.0719999980926514,,,0.37891389773942,0.28300000000000003,0.52517220452116,,
Estonia,25132.0267190104,1324612.0,0.0717,0.9697853999999999,0.0880000019073486,0.2114255,0.3410026,0.9068779828754661,0.998,0.184244034249068,,
Ethiopia,1335.73227522925,94100756.0,0.0796,0.36604279999999995,0.0569999980926514,,,0.3439084513070875,0.1,0.412183097385825,,
Euro area,36990.9689414704,334048965.0,,0.9590928649902339,0.12077937454933699,0.369220381768,0.454043822147,,,0.137983886840182,,
Europe & Central Asia (all income levels),27395.339815264502,898926561.0,,0.950469512939453,0.09597940054913211,,,,,0.161906374136006,,
Europe & Central Asia (developing only),13686.7754074804,272208706.0,,0.9480947113037109,0.0972143266706866,0.046399234814999996,0.08669221980399999,0.841699027615417,0.970317392766939,0.28691933753610505,,
European Union,34381.1790988304,506739265.0,,0.9514370727539059,0.10920053622722302,,,,,0.13705735209710698,,
Faeroe Islands,,49469.0,,,,,,,,,,
Fiji,7501.810430476,881065.0,0.062,0.9650883,0.0810000038146973,,,0.8859929646841336,0.997,0.225014070631733,0.193288704870383,0.12634736653352485
Finland,38845.655127185,5439407.0,0.09179999999999999,0.9955173,0.08199999809265139,0.453279,0.6344996999999999,0.906513991006183,0.9990000000000001,0.185972017987634,,
Fragile and conflict affected situations,3380.7430077448,446372465.0,,0.6464202880859379,0.0811782514336854,,,0.5488273140756801,0.600467549999771,0.502812921848411,,
France,37154.4450392331,66028467.0,0.0781,0.9983825999999999,0.103999996185303,0.37698879999999996,0.5698463,0.9890043433867921,1.0,0.07393960649356231,,
French Polynesia,,276831.0,,,,,,,0.99,,,
Gabon,18646.3698144321,1671711.0,0.058600000000000006,0.5980949,0.196000003814697,0.01949263,0.1306745,0.7394442852930401,0.893,0.41411142941392,0.22083996445867293,0.12165273695354185
"Gambia, The",1608.12799895875,1849285.0,0.0479,0.8284921999999999,0.07,,,0.701341463871308,0.5660000000000001,0.163317072257384,,
Georgia,6946.235895602329,4476900.0,0.0528,0.9311802,0.14300000190734902,0.0,0.01744998,0.675684017118152,0.998,0.646631965763696,0.9832011784414143,0.5428108927360503
Germany,43206.660656636,80621788.0,0.08289999999999999,0.9624235999999999,0.053000001907348604,0.5506023,0.6003755000000001,0.9397070744792759,1.0,0.120585851041448,,
Ghana,3864.0307887795,25904598.0,0.0524,0.7223023000000001,0.0459999990463257,0.04945406,0.27177090000000004,0.6984182296951444,0.684,0.28716354060971105,,
