country,H,T_rebuild_K,T_rebuild_L,alpha,axfin_p,axfin_r,axhealth,fa,finance_pre,pe,pi,plgp,prepare_scaleup,protection,pv,rating,resilience,share1,shew,social_p,social_r,unemp,v,v_s,v_shew
South Africa $(\eta=2)$,1.3394076475649504e-05,7.00858108271577e-05,1.2601743372224992e-06,0.0002512905663044646,-2.4336706208702864e-05,-4.068293550050237e-05,-9.022645631947017e-05,0.051236598990537154,-1.6888773593710417e-05,0.0004928345892605971,0.0,-9.022645631947017e-05,-3.3775041709336717e-05,-8.896834570275292e-06,0.00017215702173621443,-1.6888773593710417e-05,-0.003495749683025476,-0.026626589367136935,-0.0001855878200326521,-0.00019965948505867425,-7.902130319309333e-05,9.0226456319687e-05,0.0007941971074894348,0.0008746702546192134,0.0007941971074894341
Spain $(\eta=1)$,-5.248225733666366e-06,1.1134117444726787e-05,1.1552480949942809e-08,4.826254469233646e-05,-3.2224678557079417e-07,-5.990691213768069e-07,-1.4450095120574664e-06,0.006955205431675282,-6.274066273838971e-07,2.910066587659063e-07,0.0,-1.4450095120574664e-06,-1.254611603761788e-06,-3.163003361696592e-06,2.3807807507961144e-05,-6.274066273838971e-07,-0.0003637318735798377,-6.5785356951123235e-06,-6.266597481509035e-05,-2.9630036786762112e-06,-5.626781414609129e-06,1.4450095120032563e-06,0.0014635401218884001,0.0013845316821067875,0.0014635401218883988
Spain $(\eta=2)$,-7.684882222225818e-06,1.9074079333895357e-05,2.160877591228169e-08,8.263559644010711e-05,-4.718601521883428e-07,-8.772061024613087e-07,-2.115901349096505e-06,0.011864536994584805,-1.5850945623337859e-06,0.00020009206247971478,0.0,-2.115901349096505e-06,-3.1700374000603014e-06,-5.391643965546675e-06,0.00012748167102369845,-1.5850945623337859e-06,-0.0010568773529908554,-0.005156155280832276,-0.00010721683831163347,-1.2627516690004014e-05,-9.94630346655553e-06,2.115901348988085e-06,0.0023774839651548654,0.002495667323657903,0.0023774839651548633
Sri Lanka $(\eta=1)$,-0.0004516426523187844,0.0013412810921757667,1.1605695005717509e-05,0.004959187259850548,-0.0002614792871044602,-0.0005747116850248618,-0.0018769759350320547,0.3172410287763175,-0.0003298331262991533,0.0001891459624793479,-0.019608558492393777,-0.0018769759350320547,-0.0006596005530396659,-0.0030746277342799666,0.002266548994435749,-0.0003298331262991533,-0.027327951316613485,-0.0013247114448774328,-0.004902344052950397,-0.0006897567133411914,-0.0013578490149039613,0.00187697593503032,0.023277665101096093,0.010709156178524346,0.0277115060727332
Sri Lanka $(\eta=2)$,-0.000586035149127001,0.0017900475891632905,1.9236675719361274e-05,0.006618548992878837,-0.0003392860533114883,-0.000745725068942299,-0.002435495997434381,0.41376377605891435,-0.0006418320915579923,0.0071119239822576424,-0.026133429227194818,-0.002435495997434381,-0.0012834505716975003,-0.004002116017429516,0.007788771452613488,-0.0006418320915579923,-0.04630217364071802,-0.14019374402436494,-0.0065338559695534565,-0.00191272666245218,-0.002073614797284268,0.002435495997434381,0.031659174402688325,0.01364005634900238,0.03768949333653339
Sweden $(H=65\%)$,-2.623216097195468e-07,1.896104471848202e-05,2.8554169120321993e-10,6.945021279909105e-05,-7.986720632719921e-09,-2.9146489583832536e-08,-6.224842958257003e-08,0.007724947110490968,-3.126521209897287e-07,2.557231310515158e-05,-0.00025101543826692475,-6.224842958257003e-08,-6.251341681990947e-07,-4.90253957769653e-06,1.828995721927162e-05,-3.126521209897287e-07,-0.00036917008475892773,-0.00033696561558917474,-6.275407259210219e-05,-1.2543838732211997e-06,-1.221835665900662e-06,6.224842960967508e-08,0.0007579870558366351,0.0012994896973854409,0.0009023655426626604
Sweden $(\alpha=-70\%)$,-9.108942532003693e-07,-1.84758087290991e-05,1.7140968142483406e-09,6.929863453948993e-05,-4.894151811520465e-08,-1.7371629037598452e-07,-3.7367518079106914e-07,0.004260340275815327,-1.654457691316726e-07,1.4105078982194416e-05,-0.00013845384941480073,-3.7367518079106914e-07,-3.308863165559471e-07,-2.704341435548962e-06,1.008766290346106e-05,-1.654457691316726e-07,-0.00011233292394190592,-0.00018596646410661932,-3.4613613584524514e-05,-6.817994077163358e-07,-6.314903879759554e-07,3.7367518079106914e-07,0.0004179337131177211,0.0007169264711330721,0.0004975401346639535
Sweden $(\eta=1)$,-7.990878556996071e-07,1.785827756403376e-05,1.3268388395371727e-09,6.541099461501634e-05,-4.2934262265217904e-08,-1.5239373557019743e-07,-3.2780896123659267e-07,0.007281813180095295,-2.439671302164378e-07,2.344112284109138e-07,-0.00023657396100763037,-3.2780896123659267e-07,-4.878374605589864e-07,-4.622067653582088e-06,9.27887427377744e-06,-2.439671302164378e-07,-0.0003281381740957525,-1.371470505792758e-07,-5.914370345729003e-05,-8.445501303779458e-07,-1.0650951834097287e-06,3.278089612908028e-07,0.0007238962978781203,0.001215186378043608,0.0008617813069977619
Sweden $(\eta=2)$,-8.260732166262249e-07,1.6590699898575974e-05,1.752151375378208e-09,6.075165926714614e-05,-4.4384161127755846e-08,-1.5754010334494747e-07,-3.3887913716758745e-07,0.006756143892927888,-3.9022941438805487e-07,4.816084728383966e-05,-0.00021979101623946767,-3.3887913716758745e-07,-7.804190350056174e-07,-4.286961810876216e-06,2.469455460371627e-05,-3.9022941438805487e-07,-0.00028228212195483487,-0.000848280630578511,-5.4951399284004104e-05,-1.693039185517338e-06,-1.4106420027850015e-06,3.388791371946925e-07,0.000654803052399817,0.0011466286731106185,0.0007795274433331151
Sweden $(\pi=40\%)$,-5.165952667539591e-07,1.5335150487460168e-05,8.547030542083861e-10,5.616931304772729e-05,-2.4333595983463616e-08,-8.67083533337247e-08,-1.8632629705632453e-07,0.0062508944254827635,-2.3782477290951957e-07,2.0694914600069103e-05,-0.00025088140978503544,-1.8632629705632453e-07,-4.7554730449707663e-07,-3.967406896052453e-06,1.479307587969774e-05,-2.3782477290951957e-07,-0.00029865381954796645,-0.0002727350908699968,-0.00012544109138655003,-9.842715563353503e-07,-9.043668735571721e-07,1.8632629705632453e-07,0.000612926793927085,0.0010517601404993603,0.0009013629322457131
Sweden $(fa= 2\%)$,-4.554471265866321e-07,9.476327959557747e-06,8.570484139004339e-10,3.4709681832960056e-05,-2.4470759064378587e-08,-8.685814518799226e-08,-1.868375903887583e-07,0.007723410771755064,-1.7845957414467425e-07,1.2777740429037693e-05,-0.00012554358295695646,-1.868375903887583e-07,-3.5681989227741035e-07,-2.451326424561095e-06,9.156855917150054e-06,-1.7845957414467425e-07,-0.000184593514814686,-0.00016849688450039856,-3.1386034173987534e-05,-6.781139753046133e-07,-7.288065823312772e-07,1.8683759040231084e-07,0.00037963077512728457,0.000649408968124394,0.0004519413989610528
