country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,bashs,ophe,social_p,social_r,axhealth
Kazakhstan,22469.6790194365,17035275.0,0.09449999999999999,0.9927625274658198,0.05199999809265139,0.0495838,0.07945224000000001,0.9990000000000001,0.46336461800379103,,,0.7678176909981045
Kenya,2705.3232181398103,44353691.0,0.0484,0.7763126373291019,0.0919999980926514,0.10053339999999998,0.32159240000000006,0.43799999999999994,0.446425516392436,0.05486851859573319,0.07183448406098354,0.495787241803782
Kiribati,1796.2971464148602,102351.0,,0.7890505981445309,,,,0.7979999999999999,0.000939363097842664,0.09119600859349575,0.08826577847818604,0.8985303184510787
"Korea, Dem. Rep.",,24895480.0,,,0.0459999990463257,,,1.0,,,,
"Korea, Rep.",32708.1074382641,50219669.0,,0.991911087036133,0.030999999046325697,0.3501086,0.5564819,1.0,0.366374987574264,,,0.8168125062128679
Kosovo,8598.55955756445,1824000.0,,,,0.01993255,0.07123180000000001,,,0.19792748058848167,0.11673657822825764,
Kuwait,82357.8241817504,3368572.0,,0.9407154083251948,0.030999999046325697,0.5218066,0.3411517,1.0,0.15692555335471,,,0.921537223322645
Kyrgyz Republic,3109.8128288413104,5719600.0,0.0768,0.970536422729492,0.08,0.001899116,0.01364074,0.991,0.36364908627885606,0.7217599301569062,0.4621961027620737,0.813675456860572
Lao PDR,4667.34005886512,6769727.0,0.0762,0.7333741760253909,0.013999999761581401,0.13250879999999998,0.2385275,0.415,0.399903039365661,0.03728431799420904,0.13347582175320616,0.5075484803171695
Latin America & Caribbean (all income levels),14599.7526966521,615332389.0,,0.719713363647461,0.06188337701883099,,,0.9260266907133541,0.319945393069332,,,0.803040648822011
Latin America & Caribbean (developing only),14146.6344808921,588019237.0,,0.7162669372558591,0.06148321728590231,0.048339480000000004,0.12895769999999998,0.923822718188044,0.321438808106345,,,0.8011919550408495
Latvia,21832.5707415661,2012647.0,0.062400000000000004,0.9028720855712891,0.111000003814697,0.08001866999999999,0.1686562,1.0,0.364838974498186,0.5695951191444618,0.21415530061340335,0.817580512750907
Least developed countries: UN classification,2077.34176637156,898289508.0,,0.5499494934082029,0.05715672408963861,,,0.4823565212656139,0.454082115161734,,,0.51413720305194
Lebanon,16622.935484094298,4467390.0,,0.932877197265625,0.065,0.06073539,0.25196470000000004,0.98,0.34270836903798396,,,0.818645815481008
Lesotho,2493.6137341397302,2074465.0,0.028399999999999998,0.567543716430664,0.247000007629395,0.02873374,0.11368269999999998,0.615,0.14447772311793497,,,0.7352611384410326
Liberia,849.830924236094,4294077.0,0.0644,0.677655029296875,0.0370000004768372,0.044962499999999996,0.20074909999999999,0.611,0.26038407321742,0.04503793391523511,0.12573070699110653,0.67530796339129
Libya,20371.2174108149,6201521.0,,,0.196000003814697,,,0.998,0.297477305624893,,,0.8502613471875535
Liechtenstein,,36925.0,,0.7939875030517579,,,,,,,,
Lithuania,24469.622500843598,2957689.0,0.0703,0.9749952697753911,0.11800000190734901,0.13165970000000002,0.2553146,1.0,0.326323027699747,0.7555093413432173,0.20816938520035233,0.8368384861501265
Low & middle income,8276.254754103109,5818700658.0,,0.722159729003906,0.055440902497651504,0.1046698,0.22430350000000002,0.676631514447313,0.3566326976289221,,,0.6599994084091955
Low income,1871.89230701395,848667515.0,,0.568959808349609,0.0506697639661888,0.07760552999999999,0.1416367,0.505368452687856,0.45303183294818,,,0.526168309869838
Lower middle income,5809.9533811969895,2561101967.0,,0.7052120971679691,0.0534456489991845,0.07680661999999999,0.13385729999999998,0.5792469566343429,0.543442772745201,,,0.5179020919445709
Luxembourg,88849.9952652285,543360.0,,,0.05900000095367429,0.4542485,0.5654266,0.9990000000000001,0.10797955213620501,,,0.9455102239318975
"Macao SAR, China",138024.90667496802,566375.0,,0.9827377319335941,0.0179999995231628,,,1.0,,,,
"Macedonia, FYR",11608.968970793701,2107158.0,0.0541,0.974930572509766,0.29,0.04312311,0.1010828,0.983,0.311040987750234,,,0.8359795061248829
Madagascar,1368.63241207592,22924851.0,0.065,0.37969799041748,0.0359999990463257,0.00467687,0.01990471,0.44299999999999995,0.300554385077365,0.07554764626798254,0.1054161434005338,0.5712228074613175
Malawi,754.981975267971,16362567.0,0.0541,0.597333717346191,0.0759999990463257,0.05031624,0.10417769999999998,0.7140000000000001,0.11680102048357599,0.03189209342110269,0.03962894099199903,0.798599489758212
Malaysia,22589.3714474966,29716965.0,0.0454,0.9911965179443359,0.032000000476837195,0.2476379,0.42786250000000003,0.9868000000000001,0.36112726994644295,0.1471422500216373,0.05773081708127114,0.8128363650267786
Maldives,11282.814960828799,345023.0,0.06509999999999999,0.828473815917969,0.116000003814697,,,0.988,0.374842622119418,0.031145207668181806,0.016503814270041425,0.806578688940291
Mali,1589.1673480781,15301650.0,0.0797,0.615925102233887,0.08199999809265139,0.026048720000000004,0.05730599,0.5870000000000001,0.600787761506963,0.024631705730870018,0.05299713321707195,0.49310611924651854
Malta,28821.6623967794,423374.0,,0.9446349334716801,0.065,0.3354295,0.5232763,1.0,0.316249257335749,,,0.8418753713321255
Marshall Islands,3775.8601550871504,52634.0,,0.834678192138672,,,,0.99,0.12367055785780302,,,0.9331647210710985
Mauritania,2945.22956949672,3889880.0,0.0602,0.641279296875,0.31,0.03011628,0.08601067999999999,0.6509999999999999,0.46308762506446705,,,0.5939561874677663
